Name,Description
movement_stiffness,Difficulty or resistance in moving the body.
spinning_movements,Sensations of spinning or whirling.
loss_of_balance,Impaired ability to maintain balance or stability.
unsteadiness,Lack of stability or a shaky or unsteady gait.
weakness_of_one_body_side,Reduced strength or control on one side of the body.
loss_of_smell,Impaired or complete loss of the sense of smell.
bladder_discomfort,Discomfort or pain in the bladder region.
foul_smell_of_urine,Unpleasant or offensive odor of urine.
continuous_feel_of_urine,Sensation of needing to urinate frequently or constantly.
passage_of_gases,Release of gas from the digestive system.
internal_itching,An uncomfortable itching sensation inside the body.
toxic_look_(typhos),Presentation of a sickly or unhealthy appearance.
depression,Feelings of severe despondency and dejection.
irritability,Readiness to be easily annoyed or provoked.
muscle_pain,Pain or discomfort in the muscles.
altered_sensorium,Changes in consciousness or awareness.
red_spots_over_body,Small red or discolored spots on the body.
belly_pain,Pain or discomfort in the abdomen.
lack_of_concentration,Difficulty in focusing attention or mental effort.
visual_disturbances,Impairment or changes in vision.
receiving_blood_transfusion,Receiving donated blood as part of a medical procedure.
receiving_unsterile_injections,Receiving injections that were not properly sterilized.
coma,A state of deep unconsciousness.
stomach_bleeding,Internal bleeding in the stomach or gastrointestinal tract.
distention_of_abdomen,Abnormal enlargement or swelling of the abdomen.
history_of_alcohol_consumption,Past or present habit of consuming alcohol.
fluid_overload.1,Excessive accumulation of fluid in the body.
blood_in_sputum,Presence of blood in the sputum or phlegm.
prominent_veins_on_calf,Visible or bulging veins on the calf muscles.
palpitations,Awareness or sensation of rapid or irregular heartbeats.
painful_walking,Discomfort or pain experienced while walking.
pus_filled_pimples,Pimples or acne lesions filled with pus.
blackheads,Small dark bumps on the skin caused by clogged hair follicles.
scurring,Scaly or flaky skin.
skin_peeling,Shedding or flaking of the outer layer of the skin.
silver_like_dusting,Presence of silver-like dust particles on the skin.
small_dents_in_nails,Tiny depressions or pits in the nails.
inflammatory_nails,Nails exhibiting signs of inflammation or infection.
blister,Small fluid-filled sac or bubble on the skin.
red_sore_around_nose,"Sore, red, or irritated skin around the nose."
yellow_crust_ooze,Yellow-colored crust or discharge oozing from the skin.
